Line #,st,en Version,ru Translation
756,ru.settings.index.facebook_avatar,This is your avatar from Facebook.,Это ваш аватар из Facebook.
757,ru.settings.index.use_facebook_avatar,Use Facebook Avatar,Используйте аватар Facebook
758,ru.settings.index.hint.about,Short summary about yourself. This will be shown with the stories that you publish.,Коротко о себе - это будет показано с Вашими историями
759,ru.settings.index.hint.default_story_locale,Select the language you want to use by default when creating a new story.,"Выберите язык, который вы хотите использовать по умолчанию при создании новой истории."
760,ru.settings.index.submit,Save Settings,Сохранить настройки
761,ru.settings.invitations.title,Collaboration Invitations,Приглашения на сотрудничество
762,ru.settings.invitations.no_invitations,At this time you have no invitations waiting for you.,На данный момент у вас нет приглашенией
763,ru.settings.invitations.accept_link,Accept,Принимать
764,ru.settings.invitations.decline_link,Decline,Отклонить
765,ru.settings.invitations.header_date,Date Sent,Дата отправки
766,ru.settings.invitations.header_story,Story Title,Заглавок истории
767,ru.settings.invitations.header_role,Role,Роль
768,ru.settings.invitations.header_from,Sent By,Отправлено от
769,ru.settings.notifications.title,Notifications,Уведомления
770,ru.settings.notifications.explain,You can receive email notifications whenever new stories are published on Chai Khana! Simply sign in to subscribe.,"Как только новые материалы будут опубликованы на сайте Чайхана, вы сможете получать уведомления по электронной почте! Просто зарегистрировайтесь, чтобы получать обновления."
771,ru.settings.notifications.all_sub_title,All Notifications,Все Уведомления
772,ru.settings.notifications.all_label,Do you want to recieve any notifications from Chai Khana?,Вы хотите получить какие-либо уведомления от Чай Хана?
773,ru.settings.notifications.all_no,"No, do not send me any notifications.","Нет, не присылайте мне никаких уведомленией"
774,ru.settings.notifications.all_yes,"Yes, I want notifications sent to me.","Да, я хочу уведомлений."
775,ru.settings.notifications.story_comment_sub_title,New Story Comment Notifications,Уведомления о новых комментариях
776,ru.settings.notifications.story_comment_label,Do you want to recieve notifications when a comment is made to one of your stories?,"Вы хотите получить уведомление, при коментарий к одному из ваших историей?"
777,ru.settings.notifications.story_comment_no,"No, do not send me any notifications.","Нет, не присылайте мне уведомления."
778,ru.settings.notifications.story_comment_yes,"Yes, I want notifications sent to me.","Да, я хочу уведомлений."
779,ru.settings.notifications.new_themes_sub_title,New Theme Notifications,Уведомление о новых темах
780,ru.settings.notifications.new_themes_all,Notify me when any theme is added.,Уведомляйте меня когда будет добавлена новая тема.
781,ru.settings.notifications.new_themes_none,I do not want to receive notifications when a new theme is added.,Я не хочу получать никаких уведомлений о новых добавленных темах.
782,ru.settings.notifications.new_stories_by_category,Notify me when a story is added to:,"Сообщите мне, когда добавлена история в:"
783,ru.settings.notifications.language_sub_title,Notification Language,Язык Уведомленией
784,ru.settings.notifications.language_label,In what language do you want to receive the notifications?,На каком языке вы хотите получать уведомления?
785,ru.settings.notifications.following_sub_title,Chai Khana Users You Are Following,"Пользыватели Чайханы, которым вы подписаны."
786,ru.settings.notifications.following_label,"You will receive notifications whenever a user you are following publishes a story. To not receive notifications from a user, unfollow them by clicking on their image.","Вы будете получать уведомления, когда пользователь к комы Вы подписаны публикует историю. Чтобы не получать уведомления от пользователя, отпишитесь от них, нажав на их изображения."
787,ru.settings.notifications.following_not,"At this time, you are not following any users.",На данный момент вы не следуете никого.
788,ru.settings.notifications.following_title1,Click to unfollow '%{name}',Нажмите что бы отписаться от '%{nickname}'
789,ru.settings.notifications.following_title2,Click to follow '%{name}',Нажмите что бы подписаться к '%{nickname}'
790,ru.settings.notifications.submit,Save Settings,Сохранить настройки
791,ru.imageuploader.missing,An error occurred while processing your image. Please try again.,"Произошла ошибка при обработке изображения. Пожалуйста, попробуйте еще раз."
792,ru.imageuploader.invalid_type,Invalid file type. Only .jpg or .png is allowed.,Неверный тип файла -допускается только .jpg или .png
793,ru.imageuploader.size_limit,Image file size is limited to 4MB,Максимум размер файла 4МB
794,ru.devise.mailer.reset_password_instructions.title,Hello %{nickname}!,Привет %{nickname}!
795,ru.devise.mailer.reset_password_instructions.p1,"Someone has requested a link to change your password on Chai Khana, and you can do this through the link below.","Кто-то просил ссылку, чтобы изменить пароль на Чайхане, и вы можете сделать это через ссылку ниже."
796,ru.devise.mailer.reset_password_instructions.link_title,Change my password,Изменить мой пароль
797,ru.devise.mailer.reset_password_instructions.p2,"If you didn't request this, please ignore this email.","Если вы не запрашивали это, не обращайте внимания на это сообщение."
798,ru.devise.mailer.reset_password_instructions.p3,Your password won't change until you access the link above and create a new one.,"Ваш пароль не будет меняться до тех пор, пока Вы не поидете по ссылке выше и не создадите новый."
